,Route,Direction,Stop,Model,RMSE,MAE
1,39,1,1878,decision Tree,4.540771086922123,1.5362154525399487
2,39,1,1878,random forest,9.455616298923836,6.096918154390588
0,46A,1,757,lin_reg,26.38714738241155,20.148742494624145
1,46A,1,757,decision Tree,12.468525430602481,6.157352913269919
2,46A,1,757,random forest,17.367197439400627,11.930869474040726
0,7A,1,416,lin_reg,47.104485932746655,32.12791447767555
1,7A,1,416,decision Tree,8.895875793455167,2.843018534197294
2,7A,1,416,random forest,27.89232051696765,15.475070374208196
0,40,1,270,lin_reg,122.5406812811717,70.7004445384357
1,40,1,270,decision Tree,38.11741283980508,15.99530942283114
2,40,1,270,random forest,83.21993277807998,43.518200410258
0,69,2,1977,lin_reg,46.00077689308987,21.888566116676984
1,69,2,1977,decision Tree,5.278975796402016,1.9786029688473432
2,69,2,1977,random forest,23.754868002701734,10.38823975162532
0,56A,2,7043,lin_reg,30.460965382577093,21.7279190464205
1,56A,2,7043,decision Tree,3.9197804979692914,0.755620987048073
2,56A,2,7043,random forest,17.467760577107946,10.330124223720535
0,15D,2,3001,lin_reg,82.90070721889947,61.54956564261749
1,15D,2,3001,decision Tree,0.0,0.0
